,Finish,Team,Age,Sex,Year,og_name,Squad,Club,Tie
18,4,SOCAL WATER POLO FOUNDATION,16,Boys,2016,SOCAL WATER POLO FOUNDATION,A,SOCAL,0.0
19,4,VANGUARD AQUATIC,18,Boys,2016,VANGUARD AQUATICS,A,VANGUARD,0.0
20,5,SAN JOSE EXPRES WATER POLO,10,Girls,2016,SAN JOSE EXPRESS WATER POLO,A,SAN JOSE EXPRES,0.0
21,5,STANFORD WATER POLO FOUNDATION,12,Boys,2016,STANFORD WATER POLO FOUNDATION,A,STANFORD,0.0
22,5,CC UNITED,14,Boys,2016,CC UNITED,A,CC UNITED,0.0
23,5,CC UNITED,16,Boys,2016,CC UNITED,A,CC UNITED,0.0
24,5,TROJAN WATER POLO CA,18,Boys,2016,TROJAN WATER POLO (CA),A,TROJAN CA,0.0
25,6,NEWPORT BEACH WATER POLO INC,12,Boys,2016,"NEWPORT BEACH WATER POLO, INC.",A,NEWPORT BEACH,0.0
26,6,SAN DIEGO SHORE WATER POLO CLUB,14,Boys,2016,SAN DIEGO SHORES WATER POLO CLUB,A,SAN DIEGO SHORE,0.0
27,6,LO ANGELE WATER POLO CLUB,16,Boys,2016,LOS ANGELES WATER POLO CLUB,A,LO ANGELE,0.0
28,6,FOOTHILL CLUB,18,Boys,2016,FOOTHILL CLUB,A,FOOTHILL,0.0
29,7,SOCAL WATER POLO FOUNDATION,12,Boys,2016,SOCAL WATER POLO FOUNDATION,A,SOCAL,0.0
30,7,NEWPORT BEACH WATER POLO INC,14,Boys,2016,"NEWPORT BEACH WATER POLO, INC.",A,NEWPORT BEACH,0.0
31,7,SAN DIEGO SHORE WATER POLO CLUB,16,Boys,2016,SAN DIEGO SHORES WATER POLO CLUB,A,SAN DIEGO SHORE,0.0
32,7,SANTA BARBARA PREMIER,18,Boys,2016,SANTA BARBARA PREMIER,A,SANTA BARBARA PREMIER,0.0
33,8,FOOTHILL CLUB,12,Boys,2016,FOOTHILL CLUB,A,FOOTHILL,0.0
34,8,ROSE BOWL WATER POLO CLUB,14,Boys,2016,ROSE BOWL WATER POLO CLUB,A,ROSE BOWL,0.0
35,8,680 WATER POLO,16,Boys,2016,680 WATER POLO,A,680,0.0
36,8,SAN DIEGO SHORE WATER POLO CLUB,18,Boys,2016,SAN DIEGO SHORES WATER POLO CLUB,A,SAN DIEGO SHORE,0.0
37,9,ROSE BOWL WATER POLO CLUB,12,Boys,2016,ROSE BOWL WATER POLO CLUB,A,ROSE BOWL,0.0
38,9,ORANGECOUNTY WATER POLO CLUB,14,Boys,2016,ORANGE COUNTY WATER POLO CLUB,A,ORANGE COUNTY,0.0
39,9,FOOTHILL CLUB,16,Boys,2016,FOOTHILL CLUB,A,FOOTHILL,0.0
40,9,CHAWP,18,Boys,2016,CHAWP,A,CHAWP,0.0
41,10,HUNTINGTON BEACH WATER POLO,12,Boys,2016,HUNTINGTON BEACH WATER POLO,A,HUNTINGTON BEACH,0.0
42,10,NORTH IRVINE WATER POLO CLUB,14,Boys,2016,NORTH IRVINE WATER POLO CLUB,A,NORTH IRVINE,0.0
43,10,CHAWP,16,Boys,2016,CHAWP,A,CHAWP,0.0
44,10,SADDLEBACK EL TORO SET,18,Boys,2016,SADDLEBACK EL TORO (SET),A,SADDLEBACK EL TORO SET,0.0
45,11,680 WATER POLO,12,Boys,2016,680 WATER POLO,A,680,0.0
46,11,SC TRITON,14,Boys,2016,SC TRITONS,A,SC TRITON,0.0
47,11,COMMERCE AQUATIC,16,Boys,2016,COMMERCE AQUATICS,A,COMMERCE,0.0
48,11,DEL MAR WATER POLO CLUB,18,Boys,2016,DEL MAR WATER POLO CLUB,A,DEL MAR,0.0
49,12,SAN DIEGO SHORE WATER POLO CLUB,12,Boys,2016,SAN DIEGO SHORES WATER POLO CLUB,A,SAN DIEGO SHORE,0.0
50,12,SANTA BARBARA 805,14,Boys,2016,SANTA BARBARA 805,A,SANTA BARBARA 805,0.0
51,12,DEL MAR WATER POLO CLUB,16,Boys,2016,DEL MAR WATER POLO CLUB,A,DEL MAR,0.0
52,12,ORANGECOUNTY WATER POLO CLUB,18,Boys,2016,ORANGE COUNTY WATER POLO CLUB,A,ORANGE COUNTY,0.0
53,13,SC TRITON,12,Boys,2016,SC TRITONS,A,SC TRITON,0.0
54,13,LAMORINDA WATER POLO,14,Boys,2016,LAMORINDA WATER POLO,A,LAMORINDA,0.0
55,13,ORANGECOUNTY WATER POLO CLUB,16,Boys,2016,ORANGE COUNTY WATER POLO CLUB,A,ORANGE COUNTY,0.0
56,13,NORTH IRVINE WATER POLO CLUB,18,Boys,2016,NORTH IRVINE WATER POLO CLUB,A,NORTH IRVINE,0.0
57,14,COMMERCE AQUATIC,12,Boys,2016,COMMERCE AQUATICS,A,COMMERCE,0.0
58,14,RIVERSIDE WATER POLO,14,Boys,2016,RIVERSIDE WATER POLO,A,RIVERSIDE,0.0
59,14,ROSE BOWL WATER POLO CLUB,16,Boys,2016,ROSE BOWL WATER POLO CLUB,A,ROSE BOWL,0.0
60,14,SOCAL WATER POLO FOUNDATION,18,Boys,2016,SOCAL WATER POLO FOUNDATION,A,SOCAL,0.0
61,15,CARLSBAD WATER POLO,12,Boys,2016,CARLSBAD WATER POLO,A,CARLSBAD,0.0
62,15,SOUTH BAY UNITED WATER POLO CLUB,14,Boys,2016,SOUTH BAY UNITED WATER POLO CLUB,A,SOUTH BAY UNITED,0.0
63,15,ROYAL 559 ACADEMY,16,Boys,2016,ROYAL 559 ACADEMY,A,ROYAL 559,0.0
64,15,BRUIN WATER POLO CLUB,18,Boys,2016,BRUIN WATER POLO CLUB,A,BRUIN,0.0
65,16,SOUTH BAY UNITED WATER POLO CLUB,12,Boys,2016,SOUTH BAY UNITED WATER POLO CLUB,A,SOUTH BAY UNITED,0.0
66,16,OLIMPIAKAN RESERVNER ORWP,14,Boys,2016,OLIMPIAKAN RESERVNER (ORWP),A,OLIMPIAKAN RESERVNER ORWP,0.0
67,16,UNIVERSITY PACIFIC WATER POLO,16,Boys,2016,UNIVERSITY PACIFIC WATER POLO,A,UNIVERSITY PACIFIC,0.0
68,16,CDM AQUATIC FEDERATION,18,Boys,2016,CDM AQUATICS FEDERATION,A,CDM,0.0
69,17,COSTA MESA AQUATIC CLUB,12,Boys,2016,COSTA MESA AQUATICS CLUB,A,COSTA MESA,0.0
70,17,680 WATER POLO,14,Boys,2016,680 WATER POLO,A,680,0.0
71,17,STANFORD WATER POLO FOUNDATION,16,Boys,2016,STANFORD WATER POLO FOUNDATION,A,STANFORD,0.0
72,17,STANFORD WATER POLO FOUNDATION,18,Boys,2016,STANFORD WATER POLO FOUNDATION,A,STANFORD,0.0
73,18,LAMORINDA WATER POLO,12,Boys,2016,LAMORINDA WATER POLO,A,LAMORINDA,0.0
74,18,ROYAL 559 ACADEMY,14,Boys,2016,ROYAL 559 ACADEMY,A,ROYAL 559,0.0
75,18,VANGUARD AQUATIC,16,Boys,2016,VANGUARD AQUATICS,A,VANGUARD,0.0
76,18,LAMORINDA WATER POLO,18,Boys,2016,LAMORINDA WATER POLO,A,LAMORINDA,0.0
77,19,GREENWICH AQUATIC,12,Boys,2016,GREENWICH AQUATICS,A,GREENWICH,0.0
78,19,DACA WATER POLO,14,Boys,2016,DACA WATER POLO,A,DACA,0.0
79,19,OLIMPIAKAN RESERVNER ORWP,16,Boys,2016,OLIMPIAKAN RESERVNER (ORWP),A,OLIMPIAKAN RESERVNER ORWP,0.0
80,19,CARLSBAD WATER POLO,18,Boys,2016,CARLSBAD WATER POLO,A,CARLSBAD,0.0
81,20,AMERICAN RIVER WATER POLO CLUB,12,Boys,2016,AMERICAN RIVER WATER POLO CLUB,A,AMERICAN RIVER,0.0
82,20,DEL MAR WATER POLO CLUB,14,Boys,2016,DEL MAR WATER POLO CLUB,A,DEL MAR,0.0
83,20,REDLAND RENEGADE,16,Boys,2016,REDLANDS RENEGADES,A,REDLAND RENEGADE,0.0
84,20,ROYAL 559 ACADEMY,18,Boys,2016,ROYAL 559 ACADEMY,A,ROYAL 559,0.0
85,21,LO ANGELE PREMIER,12,Boys,2016,LOS ANGELES PREMIER,A,LO ANGELE PREMIER,0.0
86,21,GREENWICH AQUATIC,14,Boys,2016,GREENWICH AQUATICS,A,GREENWICH,0.0
87,21,LAMORINDA WATER POLO,16,Boys,2016,LAMORINDA WATER POLO,A,LAMORINDA,0.0
88,21,LO ANGELE WATER POLO CLUB,18,Boys,2016,LOS ANGELES WATER POLO CLUB,A,LO ANGELE,0.0
89,22,CHELSEA PIER WATER POLO,12,Boys,2016,CHELSEA PIERS WATER POLO,A,CHELSEA PIER,0.0
90,22,NORTH TEXA THUNDER WATER POLO CLUB,14,Boys,2016,NORTH TEXAS THUNDER WATER POLO CLUB,A,NORTH TEXA THUNDER,0.0
91,22,AMERICAN RIVER WATER POLO CLUB,16,Boys,2016,AMERICAN RIVER WATER POLO CLUB,A,AMERICAN RIVER,0.0
92,22,SLEEPY HOLLOW AQUATIC,18,Boys,2016,SLEEPY HOLLOW AQUATICS,A,SLEEPY HOLLOW,0.0
93,23,LA JOLLA WATER POLO CLUB,12,Boys,2016,LA JOLLA WATER POLO CLUB,A,LA JOLLA,0.0
94,23,SLEEPY HOLLOW AQUATIC,14,Boys,2016,SLEEPY HOLLOW AQUATICS,A,SLEEPY HOLLOW,0.0
95,23,TROJAN WATER POLO CA,16,Boys,2016,TROJAN WATER POLO (CA),A,TROJAN CA,0.0
96,23,GREENWICH AQUATIC,18,Boys,2016,GREENWICH AQUATICS,A,GREENWICH,0.0
97,24,OLIMPIAKAN RESERVNER ORWP,12,Boys,2016,OLIMPIAKAN RESERVNER (ORWP),A,OLIMPIAKAN RESERVNER ORWP,0.0
98,24,LA JOLLA WATER POLO CLUB,14,Boys,2016,LA JOLLA WATER POLO CLUB,A,LA JOLLA,0.0
99,24,NEWPORT BEACH WATER POLO INC,16,Boys,2016,"NEWPORT BEACH WATER POLO, INC.",A,NEWPORT BEACH,0.0
100,24,NORTH TEXA THUNDER WATER POLO CLUB,18,Boys,2016,NORTH TEXAS THUNDER WATER POLO CLUB,A,NORTH TEXA THUNDER,0.0
101,25,DEL MAR WATER POLO CLUB,12,Boys,2016,DEL MAR WATER POLO CLUB,A,DEL MAR,0.0
102,25,SHORE AQUATIC,14,Boys,2016,SHORE AQUATICS,A,SHORE,0.0
103,25,CARLSBAD WATER POLO,16,Boys,2016,CARLSBAD WATER POLO,A,CARLSBAD,0.0
104,25,WEST VALLEY WATER POLO,18,Boys,2016,WEST VALLEY WATER POLO,A,WEST VALLEY,0.0
105,26,CDM AQUATIC FEDERATION,12,Boys,2016,CDM AQUATICS FEDERATION,A,CDM,0.0
106,26,CARLSBAD WATER POLO,14,Boys,2016,CARLSBAD WATER POLO,A,CARLSBAD,0.0
107,26,NORTH SAN DIEGO STAR,16,Boys,2016,NORTH SAN DIEGO STARS,A,NORTH SAN DIEGO STAR,0.0
108,26,CALIFORNIA REPUBLIC SC,18,Boys,2016,CALIFORNIA REPUBLIC SC,A,CALIFORNIA REPUBLIC SC,0.0
109,27,ORANGECOUNTY WATER POLO CLUB,12,Boys,2016,ORANGE COUNTY WATER POLO CLUB,A,ORANGE COUNTY,0.0
110,27,VANGUARD AQUATIC,14,Boys,2016,VANGUARD AQUATICS,A,VANGUARD,0.0
111,27,SOCAL WATER POLO FOUNDATION,16,Boys,2016,SOCAL WATER POLO FOUNDATION,A,SOCAL,0.0
112,27,SOUTH VALLEY WATER POLO,18,Boys,2016,SOUTH VALLEY WATER POLO,A,SOUTH VALLEY,0.0
113,28,NEWPORT BEACH WATER POLO INC,12,Boys,2016,"NEWPORT BEACH WATER POLO, INC.",A,NEWPORT BEACH,0.0
114,28,COMMERCE AQUATIC,14,Boys,2016,COMMERCE AQUATICS,A,COMMERCE,0.0
115,28,BAKERSFIELD WATER POLO CLUB,16,Boys,2016,BAKERSFIELD WATER POLO CLUB,A,BAKERSFIELD,0.0
116,28,TIGER AQUATIC WATER POLO,18,Boys,2016,TIGER AQUATICS WATER POLO,A,TIGER,0.0
117,29,SHORE AQUATIC,12,Boys,2016,SHORE AQUATICS,A,SHORE,0.0
118,29,FOOTHILL CLUB,14,Boys,2016,FOOTHILL CLUB,A,FOOTHILL,0.0
119,29,SADDLEBACK EL TORO SET,16,Boys,2016,SADDLEBACK EL TORO (SET),A,SADDLEBACK EL TORO SET,0.0
120,29,RAIN CITY WATER POLO,18,Boys,2016,RAIN CITY WATER POLO,A,RAIN CITY,0.0
121,30,PV WATER POLO CLUB,12,Boys,2016,P.V. WATER POLO CLUB,A,PV,0.0
122,30,STANFORD WATER POLO FOUNDATION,14,Boys,2016,STANFORD WATER POLO FOUNDATION,A,STANFORD,0.0
123,30,NAVY AQUATIC CLUB,16,Boys,2016,NAVY AQUATIC CLUB,A,NAVY,0.0
124,30,PUGET SOUND POLO,18,Boys,2016,PUGET SOUND POLO,A,PUGET SOUND,0.0
125,31,TROJAN WATER POLO CA,12,Boys,2016,TROJAN WATER POLO (CA),A,TROJAN CA,0.0
126,31,WEST HOUSTON WATER POLO,14,Boys,2016,WEST HOUSTON WATER POLO,A,WEST HOUSTON,0.0
127,31,CHELSEA PIER WATER POLO,16,Boys,2016,CHELSEA PIERS WATER POLO,A,CHELSEA PIER,0.0
128,31,PACIFIC POLO,18,Boys,2016,PACIFIC POLO,A,PACIFIC,0.0
129,32,SILICON VALLEY OUTLAW,12,Boys,2016,SILICON VALLEY OUTLAWS,A,SILICON VALLEY OUTLAW,0.0
130,32,CHELSEA PIER WATER POLO,14,Boys,2016,CHELSEA PIERS WATER POLO,A,CHELSEA PIER,0.0
131,32,GREENWICH AQUATIC,16,Boys,2016,GREENWICH AQUATICS,A,GREENWICH,0.0
132,32,TEAM VEGA WATER POLO,18,Boys,2016,TEAM VEGAS WATER POLO,A,VEGA,0.0
133,33,VANGUARD AQUATIC,12,Boys,2016,VANGUARD AQUATICS,A,VANGUARD,0.0
134,33,AMERICAN RIVER WATER POLO CLUB,14,Boys,2016,AMERICAN RIVER WATER POLO CLUB,A,AMERICAN RIVER,0.0
135,33,UTAH PREMIER WATER POLO,16,Boys,2016,UTAH PREMIER WATER POLO,A,UTAH PREMIER,0.0
136,33,DAVI WATER POLO CLUB,18,Boys,2016,DAVIS WATER POLO CLUB,A,DAVI,0.0
137,34,RIVERSIDE WATER POLO,12,Boys,2016,RIVERSIDE WATER POLO,A,RIVERSIDE,0.0
138,34,SACRAMENTO WATER POLO,14,Boys,2016,SACRAMENTO WATER POLO,A,SACRAMENTO,0.0
139,34,SPARTAN WATER POLO CLUB MI,16,Boys,2016,SPARTAN WATER POLO CLUB (MI),A,SPARTAN MI,0.0
140,34,RAIDER WATER POLO,18,Boys,2016,RAIDER WATER POLO,A,RAIDER,0.0
141,35,DACA WATER POLO,12,Boys,2016,DACA WATER POLO,A,DACA,0.0
142,35,GREENWICH AQUATIC,14,Boys,2016,GREENWICH AQUATICS,A,GREENWICH,0.0
143,35,NORTH TEXA THUNDER WATER POLO CLUB,16,Boys,2016,NORTH TEXAS THUNDER WATER POLO CLUB,A,NORTH TEXA THUNDER,0.0
144,35,SOUTH FLORIDA WATER POLO,18,Boys,2016,SOUTH FLORIDA WATER POLO,A,SOUTH FLORIDA,0.0
145,36,WEST HOUSTON WATER POLO,12,Boys,2016,WEST HOUSTON WATER POLO,A,WEST HOUSTON,0.0
146,36,ZILLA WATER POLO,14,Boys,2016,ZILLA WATER POLO,A,ZILLA,0.0
147,36,NORTHWEST ORCA WATER POLO CLUB,16,Boys,2016,NORTHWEST ORCAS WATER POLO CLUB,A,NORTHWEST ORCA,0.0
148,36,WEST HOUSTON WATER POLO,18,Boys,2016,WEST HOUSTON WATER POLO,A,WEST HOUSTON,0.0
149,37,DAVI WATER POLO CLUB,12,Boys,2016,DAVIS WATER POLO CLUB,A,DAVI,0.0
150,37,NORTHWEST ORCA WATER POLO CLUB,14,Boys,2016,NORTHWEST ORCAS WATER POLO CLUB,A,NORTHWEST ORCA,0.0
151,37,HAWAIIAN ISLAND WATER POLO,16,Boys,2016,HAWAIIAN ISLANDS WATER POLO,A,HAWAIIAN ISLAND,0.0
152,37,GRANITE BAY WATER POLO CLUB,18,Boys,2016,GRANITE BAY WATER POLO CLUB,A,GRANITE BAY,0.0
153,38,SLEEPY HOLLOW AQUATIC,12,Boys,2016,SLEEPY HOLLOW AQUATICS,A,SLEEPY HOLLOW,0.0
154,38,CHICAGO PARK DISTRICT,14,Boys,2016,CHICAGO PARK DISTRICT,A,CHICAGO PARK DISTRICT,0.0
155,38,TUALATIN HILL WATER POLO CLUB,16,Boys,2016,TUALATIN HILLS WATER POLO CLUB,A,TUALATIN HILL,0.0
156,38,WOLVERINE WATER POLO,18,Boys,2016,WOLVERINE WATER POLO,A,WOLVERINE,0.0
157,39,STANFORD WATER POLO FOUNDATION,12,Boys,2016,STANFORD WATER POLO FOUNDATION,A,STANFORD,0.0
158,39,TUALATIN HILL WATER POLO CLUB,14,Boys,2016,TUALATIN HILLS WATER POLO CLUB,A,TUALATIN HILL,0.0
159,39,WOLVERINE WATER POLO,16,Boys,2016,WOLVERINE WATER POLO,A,WOLVERINE,0.0
160,39,ROCKFORD AQUATIC CLUB,18,Boys,2016,ROCKFORD AQUATIC CLUB,A,ROCKFORD,0.0
161,40,ROYAL 559 ACADEMY,12,Boys,2016,ROYAL 559 ACADEMY,A,ROYAL 559,0.0
162,40,PARK CITY,14,Boys,2016,PARK CITY,A,PARK CITY,0.0
163,40,KEARN WATER POLO,16,Boys,2016,KEARNS WATER POLO,A,KEARN,0.0
164,40,NIPC,18,Boys,2016,NIPC,A,NIPC,0.0
165,41,680 WATER POLO,12,Boys,2016,680 WATER POLO,A,680,0.0
166,41,DAVI WATER POLO CLUB,14,Boys,2016,DAVIS WATER POLO CLUB,A,DAVI,0.0
167,41,MIAMI RIPTIDE WATER POLO,16,Boys,2016,MIAMI RIPTIDES WATER POLO,A,MIAMI RIPTIDE,0.0
168,41,TUALATIN HILL WATER POLO CLUB,18,Boys,2016,TUALATIN HILLS WATER POLO CLUB,A,TUALATIN HILL,0.0
169,42,UNIVERSITY PACIFIC WATER POLO,12,Boys,2016,UNIVERSITY PACIFIC WATER POLO,A,UNIVERSITY PACIFIC,0.0
170,42,NORTHWEST ORCA WATER POLO CLUB,14,Boys,2016,NORTHWEST ORCAS WATER POLO CLUB,A,NORTHWEST ORCA,0.0
171,42,WEST HOUSTON WATER POLO,16,Boys,2016,WEST HOUSTON WATER POLO,A,WEST HOUSTON,0.0
172,42,UTAH PREMIER WATER POLO,18,Boys,2016,UTAH PREMIER WATER POLO,A,UTAH PREMIER,0.0
173,43,NORTH TEXA THUNDER WATER POLO CLUB,12,Boys,2016,NORTH TEXAS THUNDER WATER POLO CLUB,A,NORTH TEXA THUNDER,0.0
174,43,KEARN WATER POLO,14,Boys,2016,KEARNS WATER POLO,A,KEARN,0.0
175,43,CALIFORNIA REPUBLIC SC,16,Boys,2016,CALIFORNIA REPUBLIC SC,A,CALIFORNIA REPUBLIC SC,0.0
176,43,LAMORINDA WATER POLO,18,Boys,2016,LAMORINDA WATER POLO,A,LAMORINDA,0.0
177,44,CC UNITED,12,Boys,2016,CC UNITED,A,CC UNITED,0.0
178,44,MIAMI RIPTIDE WATER POLO,14,Boys,2016,MIAMI RIPTIDES WATER POLO,A,MIAMI RIPTIDE,0.0
179,44,SOUTH FLORIDA WATER POLO,16,Boys,2016,SOUTH FLORIDA WATER POLO,A,SOUTH FLORIDA,0.0
180,44,CAPITAL DC WATER POLO CLUB,18,Boys,2016,CAPITAL DC WATER POLO CLUB,A,CAPITAL DC,0.0
181,45,BAKERSFIELD WATER POLO CLUB,12,Boys,2016,BAKERSFIELD WATER POLO CLUB,A,BAKERSFIELD,0.0
182,45,UNIVERSITY PACIFIC WATER POLO,14,Boys,2016,UNIVERSITY PACIFIC WATER POLO,A,UNIVERSITY PACIFIC,0.0
183,45,DUKE CITY AQUATIC,16,Boys,2016,DUKE CITY AQUATICS,A,DUKE CITY,0.0
184,45,NORTHWEST ORCA WATER POLO CLUB,18,Boys,2016,NORTHWEST ORCAS WATER POLO CLUB,A,NORTHWEST ORCA,0.0
185,46,TPC WATER POLO CLUB,12,Boys,2016,TPC WATER POLO CLUB,A,TPC,0.0
186,46,ROCKY MOUNTAIN NEPTUNE,14,Boys,2016,ROCKY MOUNTAIN NEPTUNES,A,ROCKY MOUNTAIN NEPTUNE,0.0
187,46,CHICAGO PARK DISTRICT,16,Boys,2016,CHICAGO PARK DISTRICT,A,CHICAGO PARK DISTRICT,0.0
188,46,KEARN WATER POLO,18,Boys,2016,KEARNS WATER POLO,A,KEARN,0.0
189,47,CAPITAL DC WATER POLO CLUB,12,Boys,2016,CAPITAL DC WATER POLO CLUB,A,CAPITAL DC,0.0
190,47,SPARTAN WATER POLO CLUB MI,14,Boys,2016,SPARTAN WATER POLO CLUB (MI),A,SPARTAN MI,0.0
191,47,WEST HOUSTON WATER POLO,16,Boys,2016,WEST HOUSTON WATER POLO,A,WEST HOUSTON,0.0
192,47,MIAMI WHITECAP WATER POLO CLUB,18,Boys,2016,MIAMI WHITECAPS WATER POLO CLUB,A,MIAMI WHITECAP,0.0
193,48,PARK CITY,12,Boys,2016,PARK CITY,A,PARK CITY,0.0
194,48,PUGET SOUND POLO,14,Boys,2016,PUGET SOUND POLO,A,PUGET SOUND,0.0
195,48,MIAMI WHITECAP WATER POLO CLUB,16,Boys,2016,MIAMI WHITECAPS WATER POLO CLUB,A,MIAMI WHITECAP,0.0
196,48,JESUIT WATER POLO,18,Boys,2016,JESUIT WATER POLO,A,JESUIT,0.0
197,49,CDM AQUATIC FEDERATION,14,Boys,2016,CDM AQUATICS FEDERATION,A,CDM,0.0
198,49,RIVERSIDE WATER POLO,16,Boys,2016,RIVERSIDE WATER POLO,A,RIVERSIDE,0.0
199,49,NEWPORT BEACH WATER POLO INC,18,Boys,2016,"NEWPORT BEACH WATER POLO, INC.",A,NEWPORT BEACH,0.0
200,50,CHAWP,14,Boys,2016,CHAWP,A,CHAWP,0.0
201,50,SAN JOSE WATER POLO FOUNDATION,16,Boys,2016,SAN JOSE WATER POLO FOUNDATION,A,SAN JOSE,0.0
202,50,ELITE WATER POLO,18,Boys,2016,ELITE WATER POLO,A,ELITE,0.0
203,51,SADDLEBACK EL TORO SET,14,Boys,2016,SADDLEBACK EL TORO (SET),A,SADDLEBACK EL TORO SET,0.0
204,51,680 WATER POLO,16,Boys,2016,680 WATER POLO,A,680,0.0
205,51,REGENCY WATER POLO CLUB,18,Boys,2016,REGENCY WATER POLO CLUB,A,REGENCY,0.0
206,52,PRIDE WATER POLO ACADEMY,14,Boys,2016,PRIDE WATER POLO ACADEMY,A,PRIDE,0.0
207,52,INTERNATIONAL WATER POLO CLUB,16,Boys,2016,INTERNATIONAL WATER POLO CLUB,A,INTERNATIONAL,0.0
208,52,UNIVERSITY PACIFIC WATER POLO,18,Boys,2016,UNIVERSITY PACIFIC WATER POLO,A,UNIVERSITY PACIFIC,0.0
209,53,TROJAN WATER POLO CA,14,Boys,2016,TROJAN WATER POLO (CA),A,TROJAN CA,0.0
210,53,TROJAN WATER POLO CA,16,Boys,2016,TROJAN WATER POLO (CA),A,TROJAN CA,0.0
211,53,SHORE AQUATIC,18,Boys,2016,SHORE AQUATICS,A,SHORE,0.0
212,54,SANTA BARBARA PREMIER,14,Boys,2016,SANTA BARBARA PREMIER,A,SANTA BARBARA PREMIER,0.0
213,54,SANTA BARBARA PREMIER,16,Boys,2016,SANTA BARBARA PREMIER,A,SANTA BARBARA PREMIER,0.0
214,54,SANTA BARBARA PREMIER,18,Boys,2016,SANTA BARBARA PREMIER,A,SANTA BARBARA PREMIER,0.0
215,55,INTERNATIONAL WATER POLO CLUB,14,Boys,2016,INTERNATIONAL WATER POLO CLUB,A,INTERNATIONAL,0.0
216,55,STANFORD WATER POLO FOUNDATION,16,Boys,2016,STANFORD WATER POLO FOUNDATION,A,STANFORD,0.0
217,55,PRIDE WATER POLO ACADEMY,18,Boys,2016,PRIDE WATER POLO ACADEMY,A,PRIDE,0.0
218,56,SAN MIGUEL WATER POLO FOUNDATION,14,Boys,2016,SAN MIGUEL WATER POLO FOUNDATION,A,SAN MIGUEL,0.0
219,56,HUNTINGTON BEACH WATER POLO,16,Boys,2016,HUNTINGTON BEACH WATER POLO,A,HUNTINGTON BEACH,0.0
220,56,COSTA MESA AQUATIC CLUB,18,Boys,2016,COSTA MESA AQUATICS CLUB,A,COSTA MESA,0.0
221,57,ORANGECOUNTY WATER POLO CLUB,14,Boys,2016,ORANGE COUNTY WATER POLO CLUB,A,ORANGE COUNTY,0.0
222,57,CDM AQUATIC FEDERATION,16,Boys,2016,CDM AQUATICS FEDERATION,A,CDM,0.0
223,57,680 WATER POLO,18,Boys,2016,680 WATER POLO,A,680,0.0
224,58,SOUTH COAST WATER POLO CLUB,14,Boys,2016,SOUTH COAST WATER POLO CLUB,A,SOUTH COAST,0.0
225,58,SAN DIEGO SHORE WATER POLO CLUB,16,Boys,2016,SAN DIEGO SHORES WATER POLO CLUB,A,SAN DIEGO SHORE,0.0
226,58,IRVINE WATER POLO CLUB KAHUNA,18,Boys,2016,IRVINE WATER POLO CLUB (KAHUNA),A,IRVINE KAHUNA,0.0
227,59,PV WATER POLO CLUB,14,Boys,2016,P.V. WATER POLO CLUB,A,PV,0.0
228,59,SOUTH COAST WATER POLO CLUB,16,Boys,2016,SOUTH COAST WATER POLO CLUB,A,SOUTH COAST,0.0
229,59,CHAWP,18,Boys,2016,CHAWP,A,CHAWP,0.0
